	"Data Addendum B.-Data Status Indicators, Data APC Assignments, and Data Comment Indicators Used in the Development of the Geometric Mean Costs for HCPCS codes and APCs for CY 2025"						
01935	Anesth perc img dx sp proc	N		PD22			
01936	Anesth perc img tx sp proc	N		PD22			
01937	Anes drg/aspir crv/thrc	N 		NP22			
01938	Anes drg/aspir lmbr/sac	N 		NP22			
01939	Anes nulyt agt crv/thrc	N 		NP22			
0193U	Jr gnotyp abcg2 exons 2-26	A		NJ20			
01940	Anes nulyt agt lmbr/sac	N 		NP22			
01941	Anes neuromd/ntrvrt crv/thrc	N 		NP22			
01942	Anes neuromd/ntrvrt lmbr/sac	N 		NP22			
0194U	Kel gnotyp kel exon 8	A		NJ20			
01951	Anes 2&3 burn less 4% tbsa	N					
01952	Anes 2&3 burn 4-9% tbsa	N					
01953	Anes 2&3 burn ea add 9% tbsa	N					
01958	Anes xtrnl cephalic version	N					
0195T	Prescrl fuse w/o instr l5/s1	C		PD19			
0195U	Klf1 targeted sequencing	A		NJ20			
01960	Anes vaginal delivery only	N					
01961	Anes cesarean delivery only	N					
01962	Anes urgent hysterectomy	N					
01963	Anes cesarean hysterectomy	N					
01965	Anes incompl/missed ab px	N		NI6			
01966	Anes induced abortion px	N		NI6			
01967	Neuraxl lbr anes vag dlvr	N					
01968	Anes/analg cs dlvr neuraxial	N					
01969	Anes c hyst flwg neuraxial	N					
0196T	Prescrl fuse w/o instr l4/l5	C		PD19			
0196U	Lu gnotyp bcam exon 3	A		NJ20			
0197U	Lw gnotyp icam4 exon 1	A		NJ20			
0198T	Ocular blood flow measure	N	5734	NI9			
0198U	Rhd&rhce gntyp rhd1-10&rhce5	A		NJ20			
01990	Support for organ donor	C					
01991	Anesth nerve block/inj	N					
01992	Anesth n block/inj prone	N					
01996	Hosp manage cont drug admin	N					
01999	Unlisted anes procedure	N					
0199U	Sc gnotyp ermap exons 4 12	A		NJ20			
0200T	Perq sacral augmt unilat inj	J1	5114	CP17			
0200U	Xk gnotyp xk exons 1-3	A		NJ20			
0201T	Perq sacral augmt bilat inj	J1	5114	NJ9			
0201U	Yt gnotyp ache exon 2	A		NJ20			
0202T	Post vert arthrplst 1 lumbar	C		NJ9			
0202U	Nfct ds 22 trgt sars-cov-2	A		NJ20			
0203U	Ai ibd mrna xprsn prfl 17	N		NO20			
0204U	Onc thyr mrna xprsn alys 593	A		DJ24			
0205T	Inirs each vessel add-on	N		PD20			
0205U	Oph amd alys 3 gene variants	A		NO20			
0206T	Cptr dbs alys car elec dta	N	5734	PD20			
0206U	Neuro alzheimer cell aggregj	N		NO20			
0207T	Clear eyelid gland w/heat	N	5734	NI10			
0207U	Neuro alzheimer quan imaging	N		NO20			
0208T	Audiometry air only	N	5732	NI10			
0208U	Onc mtc mrna xprsn alys 108	A		D22			
0209T	Audiometry air & bone	N	5732	NI10			
0209U	Cytog const alys interrog	A		NO20			
0210T	Speech audiometry threshold	N	5732	NI10			
0210U	Syphilis tst antb ia quan	N		NO20			
0211T	Speech audiom thresh & recog	N	5732	NI10			
0211U	Onc pan-tum dna&rna gnrj seq	E1		NO20			
0212T	Compre audiometry evaluation	N	5721	NI10			
0212U	Rare ds gen dna alys proband	A		NO20			
0213T	Njx paravert w/us cer/thor	T	5443	NI10			
0213U	Rare ds gen dna alys ea comp	A		NO20			
0214T	Njx paravert w/us cer/thor	N		NI10			
0214U	Rare ds xom dna alys proband	A		NO20			
0215T	Njx paravert w/us cer/thor	N		NI10			
0215U	Rare ds xom dna alys ea comp	A		NO20			
0216T	Njx paravert w/us lumb/sac	T	5443	NI10			
0216U	Neuro inh ataxia dna 12 com	A		NO20			
0217T	Njx paravert w/us lumb/sac	N		NI10			
0217U	Neuro inh ataxia dna 51 gene	A		NO20			
0218T	Njx paravert w/us lumb/sac	N		NI10			
0218U	Neuro musc dys dmd seq alys	A		NO20			
0219T	Plmt post facet implt cerv	C		NI10			
0219U	Nfct agt hiv gnrj seq alys	A		NO20			
0220T	Plmt post facet implt thor	C		NI10			
0220U	Onc brst ca ai assmt 12 feat	N		NO20			
0221T	Plmt post facet implt lumb	J1	5114	NI10			
0221U	Abo gnotyp next gnrj seq abo	A		NO20			
0222T	Plmt post facet implt addl	N		NI10			
0222U	Rhd&rhce gntyp next gnrj seq	A		NO20			
0223U	Nfct ds 22 trgt sars-cov-2	A		NP21			
0224U	Antibody sars-cov-2 titer(s)	A		NP21			
0225U	Nfct ds dna&rna 21 sarscov2	A		NO20			
0226U	Svnt sarscov2 elisa plsm srm	A		NO20			
0227U	Rx asy prsmv 30+rx/metablt	N		NI21			
0228T	Njx tfrml eprl w/us cer/thor	T	5443	PD21			
0228U	Onc prst8 ma molec prfl alg	N		NI21			
0229T	Njx tfrml eprl w/us cer/thor	N		PD21			
0229U	Bcat1&ikzf1 prmtr mthyln aly	A 		NI21			
0230T	Njx tfrml eprl w/us lumb/sac	T	5443	PD21			
0230U	Ar full sequence analysis	A 		NI21			
0231T	Njx tfrml eprl w/us lumb/sac	N		PD21			
0231U	Cacna1a full gene analysis	A 		NI21			
0232T	Njx platelet plasma	N	5735	NJ10			
0232U	Cstb full gene analysis	A 		NI21			
0233U	Fxn gene analysis	A 		NI21			
0234T	Trluml perip athrc renal art	J1	5193	NI11			
0234U	Mecp2 full gene analysis	A 		NI21			
0235T	Trluml perip athrc visceral	C		NI11			
0235U	Pten full gene analysis	A 		NI21			
0236T	Trluml perip athrc abd aorta	J1	5193	NI11			
0236U	Smn1&smn2 full gene analysis	A 		NI21			
0237T	Trluml perip athrc brchiocph	J1	5193	NI11			
0237U	Car ion chnlpthy gen seq pnl	A 		NI21			
0238T	Trluml perip athrc iliac art	J1	5194	NI11			
0238U	Onc lnch syn gen dna seq aly	A 		NI21			
0239U	Trgt gen seq alys pnl 311+	A 		NI21			
0240U	Nfct ds vir resp rna 3 trgt 	A		NI21			
0241U	Nfct ds vir resp rna 4 trgt 	A		NI21			
0242U	Trgt gen seq alys pnl 55-74	A		NA21			
0243U	Ob pe biochem assay pgf alg	N		NA21			
0244U	Onc solid orgn dna 257 genes	A		NA21			
0245U	Onc thyr mut alys 10 gen&37	A		NA21			
0246U	Rbc dna gnotyp 16 bld groups	A		NA21			
0247U	Ob prtrm brth ibp4 shbg meas	N		NA21			
0248U	Onc sphrd cell cul 12 rx pnl	A		NJ21			
0249T	Ligation hemorrhoid w/us	J1	5313	PD20			
0249U	Onc brst alys 32 phsprtn alg	N		NJ21			
0250U	Onc sld org neo dna 505 gene	A		NJ21			
0251U	Hepcidin-25 elisa serum/plsm	Q4		NJ21			
0252U	Ftl aneuploidy str alys dna	A		NJ21			
0253T	Insert aqueous drain device	J1	5492	NI11			
0253U	Rprdtve med rna gen prfl 238	A		NJ21			
0254T	Evasc rpr iliac art bifur	C		PD20			
0254U	Reprdtve med alys 24 chrmsm	A		NJ21			
0255T	Evasc rpr iliac art bifr s&i	C		PD18			
0255U	Andrology infertility assmt	N		NO21			
0256U	Tma/tmao prfl ms/ms ur alg	N		NO21			
0257U	Vlcad leuk nzm actv whl bld	N		NO21			
0258U	Ai psor mrna 50-100 gen alg	A		NO21			
0259U	Neph ckd nuc mrs meas gfr	N		NO21			
0260U	Rare ds id opt genome mapg	A 		NO21			
0261U	Onc clrct ca img alys w/ai	N		NO21			
0262U	Onc sld tum rt-pcr 7 gen	A 		NO21			
0263T	Im b1 mrw cel ther cmpl	S	5243	NJ11			
0263U	Neuro asd meas 16 c metblt	N		NO21			
0264T	Im b1 mrw cel ther xcl hrvst	S	5243	NJ11			
0264U	Rare ds id opt genome mapg	A 		NO21			
0265T	Im b1 mrw cel ther hrvst onl	S	5243	NJ11			
0265U	Rar do whl gn&mtcdrl dna als	A 		NO21			
0266T	Implt/rpl crtd sns dev total	S	1580	CF25			
0266U	Unxpl cnst hrtbl do gn xprsn	A 		NO21			
0267T	Implt/rpl crtd sns dev lead	J1	5461	NJ11			
0267U	Rare do id opt gen mapg&seq	A 		NO21			
0268T	Implt/rpl crtd sns dev gen	J1	5465	NJ11			
0268U	Hem ahus gen seq alys 15 gen	A		NO21			
0269T	Rev/remvl crtd sns dev total	N	5432	NJ11			
0269U	Hem aut dm cgen trmbctpna 22	A		NO21			
0270T	Rev/remvl crtd sns dev lead	J1	5461	NJ11			
0270U	Hem cgen coagj do 20 genes	A		NO21			
0271T	Rev/remvl crtd sns dev gen	J1	5461	NJ11			
0271U	Hem cgen neutropenia 24 gen	A		NO21			
0272T	Interrogate crtd sns dev	S	5721	NJ11			
0272U	Hem genetic bld do 60 genes	A		NO21			
0273T	Interrogate crtd sns w/pgrmg	S	5721	NJ11			
0273U	Hem gen hyprfibrnlysis 8 gen	A		NO21			
0274T	Perq lamot/lam crv/thrc	J1	5114	NJ11			
0274U	Hem gen pltlt do 62 genes	A		NO21			
0275T	Perq lamot/lam lumbar	J1	5114	NJ11			
0275U	Hem heprn nduc trmbctpna srm	N		NO21			
0276U	Hem inh thrombocytopenia 42	A		NO21			
0277U	Hem gen pltlt funcj do 40	A		NO21			
0278T	Tempr	N	5721	NI12			
0278U	Hem gen thrombosis 14 genes	A		NO21			
0279U	Hem vw factor&clgn iii bndg	N		NO21			
0280U	Hem vw factor&clgn iv bndg	N		NO21			
0281U	Hem vwd propeptide ag lvl	N		NO21			
0282U	Rbc dna gntyp 12 bld grp gen	A 		NO21			
0283U	Vw factor type 2b eval plsm	N		NO21			
0284U	Vw factor type 2n eval plsm	N		NO21			
0285U	Onc rsps radj cll fr dna tox	A 		NI22			
0286U	Cep72 nudt15&tpmt gene alys	A 		NI22			
0287U	Onc thyr dna&mrna 112 genes	A 		NI22			
0288U	Onc lung mrna quan pcr 11&3	A		NI22			
0289U	Neuro alzheimer mrna 24 gen	A		NI22			
0290T	Laser inc for pkp/lkp recip	N		PD22			
0290U	Pain mgmt mrna gen xprsn 36	A		NI22			
0291U	Psyc mood do mrna 144 genes	A		NI22			
0292U	Psyc strs do mrna 72 genes	A		NI22			
0293T	Ins lt atrl press monitor	C		PD18			
0293U	Psyc suicidal idea mrna 54	A		NI22			
0294T	Ins lt atrl mont pres lead	C		PD18			
0294U	Lngvty&mrtlty rsk mrna 18gen	E1		NI22			
0295T	Ext ecg complete	M		PD21			
0295U	Onc brst dux carc 7 proteins	A		NI22			
0296T	Ext ecg recording	N	5732	PD21			
0296U	Onc orl&/orop ca 20 mlc feat	A 		NI22			
0297T	Ext ecg scan w/report	N	5734	PD21			
0297U	Onc pan tum whl gen seq dna	A 		NI22			
0298T	Ext ecg review and interp	M		PD21			
0298U	Onc pan tum whl trns seq rna	A 		NI22			
0299T	Esw wound healing init wound	T	5052	PD18			
0299U	Onc pan tum whl gen opt mapg	A 		NI22			
0300T	Esw wound healing addl wound	N		PD18			
0300U	Onc pan tum whl gen seq&opt	A 		NI22			
0301T	Mw therapy for breast tumor	J1	5091	PD18			
0301U	Iadna bartonella ddpcr	N 		NI22			
0302T	Icar ischm mntrng sys compl	J1	5224	PD18			
0302U	Iadna brtnla ddpcr flwg liq	N 		NI22			
0303T	Icar ischm mntrng sys eltrd	J1	5222	PD18			
0303U	Hem rbc ads whl bld hypoxic	N 		NI22			
0304T	Icar ischm mntrng sys device	J1	5223	PD18			
0304U	Hem rbc ads whl bld normoxic	N 		NI22			
0305T	Icar ischm mntrng prgrm eval	N	5741	PD18			
0305U	Hem rbc fnclty&dfrm shr strs	N 		NI22			
0306T	Icar ischm mntr interr eval	N	5741	PD18			
0306U	Onc mrd nxt-gnrj alys 1st	A 		NA22			
0307T	Rmvl icar ischm mntrng dvce	N	5221	PD18			
0307U	Onc mrd nxt-gnrj alys sbsq	A 		NA22			
0308T	Insj ocular telescope prosth	J1	5496	NJ12			
0308U	Crd cad alys 3 prtn 3 param	N 		NA22			
0309T	Prescrl fuse w/ instr l4/l5	C		PD18			
0309U	Crd cv ds aly 4 prtn plm alg	N		NA22			
0310T	Motor function mapping ntms	S	5721	PD18			
0310U	Ped vsclts kd alys 3 bmrks	N		NA22			
0311U	Nfct ds bct quan antmcrb sc	N		NA22			
0312T	Laps impltj nstim vagus	J1	5465	PD23			
0312U	Ai ds sle alys 8 igg autoant	N		NA22			
0313T	Laps rmvl nstim array vagus	J1	5461	PD23			
0313U	Onc pncrs dna&mrna seq 74	A 		NA22			
0314T	Laps rmvl vgl arry&pls gen	J1	5461	PD23			
0314U	Onc cutan mlnma mrna 35 gene	A 		NA22			
0315T	Rmvl vagus nerve pls gen	J1	5461	PD23			
0315U	Onc cutan sq cll ca mrna 40	A 		NA22			
0316T	Replc vagus nerve pls gen	J1	5465	PD23			
0316U	B brgdrferi lyme ds ospa evl	N		NA22			
0317T	Elec alys vagus nrv pls gen	N	5741	PD23			
0317U	Onc lung ca 4-prb fish assay	A 		NA22			
0318U	Ped whl gen mthyltn alys 50+	A 		NA22			
0319U	Neph rna pretrnspl perph bld	A 		NA22			
0320U	Neph rna psttrnspl perph bld	A 		NA22			
0321U	Iadna gu pthgn 20bct&fng org	N		NA22			
0322U	Neuro asd meas 14 acyl carn	N		NA22			
0323U	Iadna cns pthgn next gen seq	N		NJ22 			
0324U	Onc ovar sphrd cell 4 rx pnl	A 		DA23 			
0325U	Onc ovar sphrd cell parp	A 		DA23 			
0326U	Trgt gen seq alys pnl 83+	A 		NJ22 			
0327U	Ftl aneuploidy trsmy dna seq	A 		NJ22 			
0328U	Drug assay 120+ rx&metablt	N		NJ22 			
0329T	Mntr io press 24hrs/> uni/bi	E1		NJ13			
0329U	Onc neo xome&trns seq alys	A 		NJ22 			
0330T	Tear film img uni/bi w/i&r	N	5732	NJ13			
0330U	Iadna vag pthgn panel 27 org	N		NJ22 			
0331T	Heart symp image plnr	S	5593	NJ13			
0331U	Onc hl neo opt gen mapping	A 		NJ22 			
0332T	Heart symp image plnr spect	S	5593	NJ13			
0332U	Onc pan tum gen prflg 8 dna	A 		NO22			
0333T	Visual ep scr acuity auto	E1		NJ13			
0333U	Onc lvr surveilanc hcc cfdna	N 		NO22			
0334U	Onc sld orgn tgsa dna 84/+	A		NO22			
0335T	Insj sinus tarsi implant	J1	5114	CP17			
0335U	Rare ds whl gen seq feta	A		NO22			
0336U	Rare ds whl gen seq bld/slv	A		NO22			
0337T	Endothel fxnassmnt non-invas	N	5733	PD19			
0337U	Onc plsm cell do&myeloma id	N		NO22			
0338T	Trnscth renal symp denrv unl	J1	5192	NI14			
0338U	Onc sld tum crcg tum cl slct	N 		NO22			
0339T	Trnscth renal symp denrv bil	J1	5192	NI14			
0339U	Onc prst8 mrna hoxc6 & dlx1	A 		NO22 			
0340T	Ablate pulm tumors + extnsn	J1	5361	PD18			
0340U	Onc pan ca alys mrd plasma	A		NO22 			
0341T	Quant pupillometry w/ rprt	N		PD20			
0341U	Ftl aneup dna seq cmpr alys 	A		NO22 			
0342T	Thxp apheresis w/hdl delip	S	5243	NI14			
0342U	Onc pncrtc ca mult ia eclia	E1		NO22 			
0343U	Onc prst8 xom aly 442 sncrna	A 		NO22 			
0344U	Hep nafld semiq evl 28 lipid	N 		NO22 			
0345T	Transcath mtral vlve repair	C		NI14			
0345U	Psyc genom alys pnl 15 gen	A		NO22 			
0346T	Ultrasound elastography	N		PD19			
0346U	Beta amyl ab40&ab42 lc-ms/ms	N		D25			
0347T	Ins bone device for rsa	N	5733	NJ14			
0347U	Rx metab/pcx dna 16 gen alys	A		NO22 			
0348T	Rsa spine exam	N	5522	NJ14			
0348U	Rx metab/pcx dna 25 gen alys	A		NO22 			
0349T	Rsa upper extr exam	N	5522	NJ14			
0349U	Rx metab/pcx dna 27gen rx ia	A		NO22 			
0350T	Rsa lower extr exam	N	5521	NJ14			
0350U	Rx metab/pcx dna 27 gen alys	A		NO22 			
0351T	Intraop oct brst/node spec	N		NJ14			
0351U	Nfct ds bct/viral trail ip10	N		NO22 			
0352T	Oct brst/node i&r per spec	B		NJ14			
0352U	Nfct ds bv&vaginitis amp prb	N		PD25 			
0353T	Intraop oct breast cavity	N		NJ14			
0353U	Iadna chlmyd&gonorr amp prb	N		DJ24			
0354T	Oct breast surg cavity i&r	B		NJ14			
0354U	Hpv hi rsk qual mrna e6/e7	N 		DA24			
0355T	Gi tract capsule endoscopy	J1	5302	PD22			
0355U	Apol1 risk variants	A 		NI23			
0356T	Insrt drug device for iop	N	5692	PD22			
0356U	Onc orop/anal 17 dna ddpcr	A 		NI23			
0357T	Cryopreservation oocyte(s)	N	5672	PD20			
0357U	Onc mlnma ai quan alys 142	N		DO23			
0358T	Bia whole body	N	5731	NJ14			
0358U	Neuro alys b-amyl 1-42&1-40	N		NI23			
0359T	Behavioral id assessment	S	5822	PD19			
0359U	Onc prst8 ca alys all psa	N		NI23			
0360T	Observ behav assessment	S	5822	PD19			
0360U	Onc lung elisa 7 autoant alg	A		NI23			
0361T	Observ behav assess addl	N		PD19			
0361U	Neurflmnt lt chn dig ia quan	N		NI23			
0362T	Bhv id suprt assmt ea 15 min	S	5821 	NJ14			
0362U	Onc pap thyr ca rna 82&10	A		NI23			
0363T	Expose behav assess addl	N		PD19			
0363U	Onc urthl mrna 5 gen alg	A 		NI23			
0364T	Adaptive behavior treatment	S	5823	PD19			
0364U	Onc hl neo gen seq alys alg	A 		NA23 			
0365T	Adaptive behavior tx addl	N		PD19			
0365U	Onc bldr 10 ur hrbr urthl ca	N		NA23			
0366T	Group behavior treatment	S	5823	PD19			
0366U	Onc bldr 10 prb recr bldr ca	N		NA23			
0367T	Group behav treatment addl	N		PD19			
0367U	Onc bldr 10 flwg trurl rescj	N		NA23			
0368T	Behavior treatment modified	S	5823	PD19			
0368U	Onc clrct ca mut&mthyltn mrk	E1		NA23			
0369T	Behav treatment modify addl	N		PD19			
0369U	Iadna gi pthgn 31 org&21 arg	N		NA23			
0370T	Fam behav treatment guidance	S	5823	PD19			
0370U	Iadna surg wnd pthgn 34&21	N		NA23			
0371T	Mult fam behav treat guide	S	5823	PD19			
0371U	Iadna gu pthgn semiq dna16&1	N		NA23			
0372T	Social skills training group	S	5823	PD19			
0372U	Nfct ds gu pthgn arg detcj	N		NA23			
0373T	Adapt bhv tx ea 15 min	S	5821 	NJ14			
0373U	Iadna rsp tr nfct 17 8 13&16	N		NA23			
0374T	Expose behav treatment addl	N		PD19			
0374U	Iadna gu pthgn 21 org&21arg	N		NA23			
0375T	Total disc arthrp ant appr	C		PD20			
0375U	Onc ovrn bchm asy 7 prtn alg	A 		NA23			
0376T	Insert ant segment drain int	N		PD22			
0376U	Onc prst8 ca img alys 128	N		NA23			
0377T	Anoscpy inj agent for incont	J1	5313	PD20			
0377U	Cv ds quan advsrm/plsm lprtn	N		NA23			
0378T	Visual field assmnt rev/rprt	B		NI15			
0378U	Rfc1 repeat xpnsj vrnt alys	A 		NA23			
0379T	Vis field assmnt tech suppt	N	5732	NI15			
0379U	Tgsap sl or neo dna523&rna55	A 		NA23			
0380T	Comp animat ret imag series	N	5732	PD20			
0380U	Rx metb advrs trgt sq aly 20	A 		D25			
0381T	Ext h rate epi sz 14 days	M		PD21			
0381U	Maple syrup ur ds mntr quan	N		NA23			
0382T	Ext h rate sz 14 day ri only	M		PD21			
0382U	Hyprphenylalninmia mntr quan	N		NA23			
0383T	Ext h rate sz up to 30 days	M		PD21			
0383U	Tyrosinemia typ i mntr quan	N		NA23			
0384T	Ex h rate sz 30 day ri only	M		PD21			
0384U	Neph ckd rsk hi stg kdn ds	N		NA23			
0385T	Ex h rate for sz ovr 30 day	M		PD21			
0385U	Neph ckd alg rsk dbtc kdn ds	N		NA23			
0386T	Ex h rate sz 30+ day ri only	M		PD21			
0386U	Gi barrett esoph mthyltn aly	A 		DO23			
0387T	Leadless c pm ins/rpl ventr	J1	5194	PD19			
0387U	Onc mlnma ambra1&amlo	N		NJ23			
0388T	Leadless c pm remove ventr	J1	5183	PD19			
0388U	Onc nonsm cll lng ca 37 gen	A 		NJ23			
0389T	Prog eval inper leadls pm	N	5741	PD19			
0389U	Ped fbrl kd ifi27&mcemp1 rna	A 		NJ23			
0390T	Periproc eval inper ledls pm	N		PD19			
0390U	Ob pe kdr eng&rbp4 ia alg	N		NJ23			
0391T	Intergt eval inper leadls pm	N	5741	PD19			
0391U	Onc sld tum dna&rna 437 gen	A 		NJ23			
0392U	Rx metab genrx ia 16 genes	A 		NJ23			
0393U	Neu prksn msfl a-syncln prtn	N		NJ23			
0394T	Hdr elctrnc skn surf brchytx	S	5622	NP16			
0394U	Pfas 16 pfas compnd lc ms/ms	N		NJ23			
0395T	Hdr elctr ntrst/ntrcv brchtx	S	5624	NP16			
0395U	Onc lng multiomics plsm alg	A 		NJ23			
0396T	Intraop kinetic balnce sensr	N		PD21			
0396U	Ob preimpltj tst 300000 dna	E1		DO24			
0397T	Ercp w/optical endomicroscpy	N		NP16			
0397U	Onc nonsm cll lng ca 109	A 		DO23			
0398T	Mrgfus strtctc les abltj	J1	5463	PD25			
0398U	Gi baret esph dna mthyln aly	A 		NJ23			
0399T	Myocardial strain imaging	N		PD20			
0399U	Neuro cere folate defncy srm	N		NJ23			
0400T	Mltispectrl digital les alys	N		PD21			
0400U	Ob xpnd car scr 145 genes	E1  		NJ23			
0401T	Mltispectrl digital les alys	N		PD21			
0401U	Crd c hrt ds 9 gen 12 vrnts	A 		NJ23			
0402T	Colgn crs-link crn&pachymtry	J1	5503	NP16			
0402U	Nfct agt sti mult amp prb tq	N		NO23			
0403T	Diabetes prev standard curr	E1		NP16			
0403U	Onc prst8 mrna 18 gen 1st ur	A 		NO23			
0404T	Trnscrv uterin fibroid abltj	J1	5416	PD24			
0404U	Onc brst semiq meas thym kn	N		NO23			
0405T	Ovrsght xtrcorp liv asst pat	B		PD21			
0405U	Onc pncrtc 59 mthltn blk mrk	A 		NO23			
0406T	Sin ndsc plmt drg elut mplnt	N	5153	PD19			
0406U	Onc lung flow cytmtry 5 mrk	N		NO23			
0407T	Sin ndsc plmt drg elut mplnt	N	5153	PD19			
0407U	Neph dbtc ckd mult eclia alg	N		NO23			
0408T	Insj/rplc cardiac modulj sys	J1	5232	NP16			
0408U	Iaad blk ac wv bsnsr sarscv2	A		NO23			
0409T	Insj/rplc car modulj pls gn	J1	5231	NP16			
0409U	Onc sld tum dna 80 & rna 36	A 		NO23			
0410T	Insj/rplc car modulj atr elt	J1	5222	NP16			
0410U	Onc pncrtc dna whl gn seq 5-	A 		NO23			
0411T	Insj/rplc car modulj vnt elt	J1	5222	NP16			
0411U	Psyc genom alys pnl 15 gen	A 		NO23			
0412T	Rmvl cardiac modulj pls gen	N	5221	CF16			
0412U	Beta amyloid ab42/40 imprcip	N		NO23			
0413T	Rmvl car modulj tranvns elt	N	5221	NP16			
0413U	Onc hl neo opt gen mapg dna	A		NO23			
0414T	Rmvl & rpl car modulj pls gn	J1	5231	NP16			
0414U	Onc lng aug alg aly whl sld8	N		NO23			
0415T	Repos car modulj tranvns elt	T	5181	NP16			
0415U	Cv ds acs bld alg 5 yr score	N		NO23			
0416T	Reloc skin pocket pls gen	T	5054	NP16			
0416U	Iadna gu pthgn 20bct&fng org	N		DA24			
0417T	Prgrmg eval cardiac modulj	N	5741	NP16			
0417U	Rare ds alys 335 nuc genes	A 		NO23			
0418T	Interro eval cardiac modulj	N	5741	NP16			
0418U	Onc brst aug alg aly whl sl8	N		NO23			
0419T	Dstrj neurofibroma xtnsv	T	5053	NP16			
0419U	Nrpsyc gen seq vrnt aly 13	A 		NO23			
0420T	Dstrj neurofibroma xtnsv	T	5053	NP16			
0420U	Onc urthl mrna xprsn 6 snp	A 		NI24			
0421T	Waterjet prostate abltj cmpl	J1	5376	CF20			
0421U	Onc clrct scr sgl amp 8 rna	E1 		NI24			
0422T	Tactile breast img uni/bi	N	5521	NP16			
0422U	Onc pan solid tum alys dna	A 		NI24			
0423T	Assay secretory type ii pla2	A		PD22			
0423U	Psyc genomic alys pnl 26 gen	A 		NI24			
0424T	Insj/rplc nstim apnea compl	S	1580	PD24			
0424U	Onc prst8 xom alys 53 sncrna	A 		NI24			
0425T	Insj/rplc nstim apnea sen ld	J1	5463	PD24			
0425U	Genom rpd seq alys ea cmprtr	A 		NI24			
0426T	Insj/rplc nstim apnea stm ld	J1	5463	PD24			
0426U	Genome ultra-rapid seq alys	A 		NI24			
0427T	Insj/rplc nstim apnea pls gn	J1	5465	PD24			
0427U	Monocyte dstrbj wdth whl bld	N		NI24			
0428T	Rmvl nstim apnea pls gen	J1	5461	PD24			
0428U	Onc brst ctdna alys 56/> gen	A 		D25			
0429T	Rmvl nstim apnea sen ld	J1	5461	PD24			
0429U	Hpv orop swab 14 hi-risk typ	N		NI24			
0430T	Rmvl nstim apnea stimj ld	J1	5461	PD24			
0430U	Gi malabs aat calpro pncrtc	N		NI24			
0431T	Rmvl/rplc nstim apnea pls gn	J1	5465	PD24			
